Date,Total Transaction #,Total Transaction Fee (USD),Fee per Transaction (USD),Close Price (USD),Fee %
1/20/13,41636,535.6019124,0.012863914,15.7,0.0819%
1/19/13,56455,998.4589823,0.017685927,15.62,0.1132%
1/18/13,50896,635.5478222,0.012487186,15.7,0.0795%
1/17/13,48021,566.883272,0.011804904,15.5,0.0762%
1/16/13,52197,588.0689575,0.011266336,14.73,0.0765%
1/15/13,45653,494.8235688,0.010838796,14.25,0.0761%
1/14/13,43799,507.3056464,0.011582585,14.3,0.0810%
1/13/13,46837,513.3978159,0.010961373,14.12,0.0776%
1/12/13,46836,550.4908315,0.011753583,14.24,0.0825%
1/11/13,54662,631.1446369,0.011546314,14.14,0.0817%
1/10/13,51393,2179.113434,0.042400977,14.14,0.2999%
1/9/13,43335,470.2336521,0.010851128,13.77,0.0788%
1/8/13,35390,412.1476275,0.011645878,13.74,0.0848%
1/7/13,40860,471.0537611,0.011528482,13.59,0.0848%
1/6/13,34519,500.9672514,0.014512797,13.45,0.1079%
1/5/13,38931,407.3074465,0.010462291,13.44,0.0778%
1/4/13,49926,578.6934839,0.011591024,13.5,0.0859%
1/3/13,41413,480.4317095,0.011600988,13.4,0.0866%
1/2/13,38986,391.0385473,0.01003023,13.28,0.0755%
1/1/13,28620,316.9852486,0.011075655,13.3,0.0833%
12/31/12,34228,366.8711096,0.01071845,13.51,0.0793%
12/30/12,43751,476.1896186,0.010884085,13.45,0.0809%
12/29/12,39248,418.0622535,0.01065181,13.4,0.0795%
12/28/12,47514,525.7797572,0.011065786,13.42,0.0825%
12/27/12,43119,477.2435626,0.011068057,13.42,0.0825%
12/26/12,35740,391.3422037,0.010949698,13.47,0.0813%
12/25/12,27560,290.0275631,0.010523496,13.35,0.0788%
12/24/12,37099,413.7940885,0.01115378,13.38,0.0834%
12/23/12,39228,436.944693,0.011138592,13.31,0.0837%
12/22/12,52012,543.3395342,0.010446426,13.37,0.0781%
12/21/12,40658,485.4760985,0.011940482,13.5,0.0884%
12/20/12,36133,420.1453743,0.011627747,13.52,0.0860%
12/19/12,49016,525.933483,0.010729833,13.6,0.0789%
12/18/12,46590,496.9199274,0.010665807,13.3,0.0802%
12/17/12,40828,435.3011699,0.010661829,13.25,0.0805%
12/16/12,33989,374.4356944,0.011016379,13.3,0.0828%
12/15/12,33526,363.9467464,0.010855657,13.49,0.0805%
12/14/12,41397,457.167882,0.011043503,13.6,0.0812%
12/13/12,40260,590.2967521,0.014662115,13.7,0.1070%
12/12/12,35322,376.6553708,0.010663478,13.7,0.0778%
12/11/12,36341,417.9676302,0.011501269,13.56,0.0848%
12/10/12,38474,441.7434407,0.011481609,13.43,0.0855%
12/9/12,32838,330.6632283,0.01006953,13.39,0.0752%
12/8/12,31857,339.5656344,0.010659059,13.42,0.0794%
12/7/12,32887,355.274232,0.010802877,13.5,0.0800%
12/6/12,37201,425.1496038,0.011428446,13.3,0.0859%
12/5/12,33176,360.0902453,0.010853938,13.38,0.0811%
12/4/12,28050,313.4061402,0.011173124,13.41,0.0833%
12/3/12,22407,239.0327878,0.010667773,12.68,0.0841%
12/2/12,20555,190.55791,0.009270635,12.5,0.0742%
12/1/12,37722,380.5354614,0.010087892,12.56,0.0803%
11/30/12,28363,276.7826163,0.00975858,12.57,0.0776%
11/29/12,39050,389.710169,0.009979774,12.45,0.0802%
11/28/12,36521,554.9226756,0.015194619,12.35,0.1230%
11/27/12,29528,1001.871575,0.033929544,12.2,0.2781%
11/26/12,34810,345.0114449,0.009911274,12.25,0.0809%
11/25/12,34821,349.257988,0.010030096,12.48,0.0804%
11/24/12,29169,282.1226036,0.009672001,12.41,0.0779%
11/23/12,31482,298.2845924,0.009474766,12.35,0.0767%
11/22/12,32931,293.1021303,0.008900493,12.42,0.0717%
