time,close,high,low,open,time,volumefrom,volumeto
2018-03-03 23:00:00,0.8984,0.8996,0.8932,0.8955,2018-03-03 23:00:00,1191662.02,1070445.01
2018-03-04 00:00:00,0.8982,0.9014,0.8934,0.8984,2018-03-04 00:00:00,1663894.79,1496148.13
2018-03-04 01:00:00,0.8994,0.9006,0.8965,0.8982,2018-03-04 01:00:00,962964.07,867591.33
2018-03-04 02:00:00,0.896,0.8996,0.8941,0.8994,2018-03-04 02:00:00,1516162.71,1363204.98
2018-03-04 03:00:00,0.8889,0.896,0.8847,0.896,2018-03-04 03:00:00,2708076.74,2401468.16
2018-03-04 04:00:00,0.8926,0.8948,0.8854,0.8889,2018-03-04 04:00:00,1125054.21,999809.53
2018-03-04 05:00:00,0.8921,0.8952,0.8907,0.8926,2018-03-04 05:00:00,519351.05,464572.92
2018-03-04 06:00:00,0.8911,0.8952,0.891,0.8921,2018-03-04 06:00:00,430296.6,384935.48
2018-03-04 07:00:00,0.8965,0.8965,0.8899,0.8914,2018-03-04 07:00:00,1178992.94,1054251.07
2018-03-04 08:00:00,0.9011,0.9024,0.8947,0.8962,2018-03-04 08:00:00,1212837.01,1090452.2
2018-03-04 09:00:00,0.9028,0.9039,0.8999,0.9011,2018-03-04 09:00:00,1473528.57,1335520.78
2018-03-04 10:00:00,0.8992,0.9031,0.8932,0.9028,2018-03-04 10:00:00,3086946.82,2781974.7
2018-03-04 11:00:00,0.8975,0.9007,0.8934,0.8992,2018-03-04 11:00:00,1761053.65,1580343.63
2018-03-04 12:00:00,0.8997,0.9008,0.8953,0.8975,2018-03-04 12:00:00,1084127.9,973545.72
2018-03-04 13:00:00,0.901,0.9012,0.8969,0.8997,2018-03-04 13:00:00,671893.49,604373.15
2018-03-04 14:00:00,0.9074,0.9075,0.8975,0.901,2018-03-04 14:00:00,3188950.11,2870049.87
2018-03-04 15:00:00,0.9172,0.9222,0.9072,0.9074,2018-03-04 15:00:00,8535602.03,7813171.62
2018-03-04 16:00:00,0.9166,0.9215,0.9132,0.9172,2018-03-04 16:00:00,3489889.94,3206755.11
2018-03-04 17:00:00,0.9349,0.9449,0.9166,0.9166,2018-03-04 17:00:00,12591218.47,11770682.67
2018-03-04 18:00:00,0.9543,0.9565,0.9341,0.9348,2018-03-04 18:00:00,12162272.06,11541975.15
2018-03-04 19:00:00,0.9459,0.9596,0.945,0.9543,2018-03-04 19:00:00,6969184.55,6647838.44
2018-03-04 20:00:00,0.9491,0.9501,0.9338,0.9459,2018-03-04 20:00:00,6918651.72,6510083.44
2018-03-04 21:00:00,0.9577,0.9619,0.9447,0.9491,2018-03-04 21:00:00,7081091.91,6749972.67
2018-03-04 22:00:00,1.01,1.03,0.9547,0.9577,2018-03-04 22:00:00,30090618.97,30119109.18
2018-03-04 23:00:00,1.0,1.03,0.9892,1.01,2018-03-04 23:00:00,19383061.64,19477728.51
2018-03-05 00:00:00,0.9798,1.02,0.9794,1.0,2018-03-05 00:00:00,7993816.7,8002869.81
2018-03-05 01:00:00,0.9894,0.9982,0.9776,0.9799,2018-03-05 01:00:00,7176343.49,7097349.7
2018-03-05 02:00:00,0.9735,0.9897,0.9718,0.9894,2018-03-05 02:00:00,3334922.47,3263461.28
2018-03-05 03:00:00,0.977,0.984,0.9734,0.9735,2018-03-05 03:00:00,4117859.12,4030064.39
2018-03-05 04:00:00,0.9769,0.983,0.9737,0.9771,2018-03-05 04:00:00,2738076.8,2679630.07
2018-03-05 05:00:00,0.9934,0.9941,0.9756,0.9766,2018-03-05 05:00:00,3578187.61,3526319.0
2018-03-05 06:00:00,1.02,1.03,0.9918,0.9934,2018-03-05 06:00:00,13819345.4,13994522.65
2018-03-05 07:00:00,1.08,1.09,1.02,1.02,2018-03-05 07:00:00,29474525.4,31028998.31
2018-03-05 08:00:00,1.04,1.08,1.04,1.08,2018-03-05 08:00:00,19873027.43,21070275.09
2018-03-05 09:00:00,1.06,1.07,1.04,1.04,2018-03-05 09:00:00,7983351.65,8430752.85
